,name,calories,carbohydrate,total_fat,protein,cluster,name_encoded
267,Peach-Blueberry-Cobbler,296.5,50.2,9.6,4.0,0,114
268,Almond-Filled-Bread,285.1,42.8,10.4,6.5,0,113
269,Pizza-Potatoes,359.1,43.9,14.2,14.5,0,74
270,Bran-Muffins,235.0,47.1,5.2,6.3,0,173
271,Minnesota-Wild-Rice-Dressing,292.2,34.1,11.6,13.0,0,2146
272,Great-Grains-Oatmeal-Muffins,345.5,46.5,14.5,9.8,0,385
273,Tomato-Veggie-Soup,375.9,79.7,2.4,19.5,0,26
274,Broccoli-Potato-Calzone,442.3,83.2,4.2,22.3,0,40
275,Vegetable-Beef-Soup-Deluxe,396.5,68.5,4.6,25.4,0,31
276,lemon-rice-with-coconut-chutney,460.7,76.3,13.4,7.2,0,37
277,The-Muffins-carrot---apple-,257.2,50.8,4.6,5.6,0,50
278,Roasted-Garlic-Avocado-Pasta,263.6,37.4,8.9,11.0,0,49
279,Family-Favorite-Beef-Stew,239.8,54.5,0.5,6.4,0,809
280,Walter-s-Potato--Bacon--Corn-Chowder,392.2,53.9,15.7,12.6,0,1520
281,Subru-Uncle-s-Vegetarian-Fried-Rice,447.0,95.4,1.1,12.7,0,2149
282,Margaret-Lefever-s-Wonderful-Baked-Beans,326.2,49.6,8.8,14.1,0,1225
283,Ten-Minute-Cheater-s-Pizza,261.2,37.6,7.9,9.6,0,1522
284,Easy-fruit-smoothie,248.8,45.8,5.5,7.7,0,24
285,Killer-Spaghetti-Sauce,441.1,50.5,17.8,20.6,0,911
286,Black-Bean--amp--Cabbage-over-Rice,312.2,51.7,7.8,11.1,0,66
287,Claude-s-Baked-Beans,368.2,54.1,12.8,13.9,0,2151
288,Sinus-Aid-Hot-Sauce,215.7,48.5,2.0,10.1,0,2152
289,Apple-Pudding,290.3,49.7,10.6,1.9,0,20
290,Rice-Salad,360.5,70.8,6.0,7.5,0,10
291,Ceylonese-Roti,351.8,52.3,12.7,7.8,0,2153
292,Quinoa-Risotto,378.0,53.1,11.1,18.6,0,732
293,Pasta-with-Lentils-and-Goat-Cheese,328.2,53.0,7.8,11.4,0,25
294,My-Mom-s-Burger-Soup,418.3,65.2,8.4,23.8,0,285
295,Kabuli-Channa,418.7,70.6,10.8,15.1,0,2154
296,Greek-Potatoes,306.1,69.7,0.4,8.3,0,157
297,Carol-s-Creation,382.9,85.1,1.6,13.7,0,1045
298,Carol-s-Vegan-Tacos-With-Tofu-Guacamole,254.7,22.4,12.9,16.8,0,1045
299,Rice-with-a-Chilean-Flair,259.8,54.8,2.0,6.2,0,10
300,Cabbage-Rice,489.1,65.1,22.4,10.7,0,58
301,Tasty-Protein-Pulao,345.4,52.7,10.7,11.8,0,366
302,Carol-s-Hummous,252.8,37.5,8.1,9.7,0,1045
303,Tato-Boats,254.0,41.6,2.3,17.5,0,2158
304,Blushing-Strawberry-Family-Delight,301.7,47.0,12.3,4.7,0,1527
305,Memaw-s-Collard-Greens,321.6,25.6,16.8,20.0,0,2159
306,Country-Chicken-Skillet-Supper,366.8,50.0,9.8,20.4,0,348
307,Whole-Wheat-Irish-Soda-Bread,264.8,55.5,1.2,10.1,0,428
308,Elephant-Ears,359.0,53.6,12.0,8.6,0,810
309,Lisa-s-Version-of-Carole-s-Enchiladas,327.2,36.9,12.1,16.8,0,1528
310,Pineapple-Cabbage-Salad,226.8,55.8,0.7,6.2,0,73
311,Roasted-Vegetable-Salad-With-Garlic-and-Rosemary,416.3,66.1,14.3,9.2,0,49
312,Rice-Pudding,318.1,43.7,11.3,11.1,0,10
313,Chipotle-Rice,355.4,78.1,0.8,6.6,0,413
314,Ghos-Pilaau,331.3,47.4,9.4,13.1,0,2160
315,Schi--Russian-Cabbage-Soup-,280.4,38.2,11.4,10.2,0,2162
316,Muslim-Naan,399.6,67.0,9.4,10.7,0,2163
317,Orange-Souffle,284.2,44.3,9.3,8.5,0,34
318,Jan-s-Irish-Soda-Bread,337.1,67.4,2.4,10.8,0,1228
319,Roghni-Naan,327.3,51.4,9.4,8.9,0,2164
320,Gobi-ka-Paratha,292.6,56.9,4.4,15.7,0,915
321,Chinese-Beef-and-Pea-Pods,186.9,18.7,3.3,21.9,0,214
322,Crispy-Scallops-with-Soy-Dipping-Sauce,263.3,16.1,9.4,27.4,0,350
323,Possum-Lodge-Firehouse-Chili-Con-Carne-With-Beans---Crock-Pot,374.2,44.7,8.1,28.5,0,2166
